"","rank","year","continent","economy","port","port_label","lon","lat","volume"
"136",36,"2012","Europe","United Kingdom","Felixstowe","Felixstowe",1.351255,51.961726,3700
"137",35,"2012","Asia","Philippines","Manila","Manila",120.9842195,14.5995124,3705
"138",39,"2012","North_America","United States","Seattle/Tacoma","Seattle/Tacoma",-122.3088165,47.4502499,3510
"139",42,"2012","Europe","Turkey","Ambarli (Istanbul)","Istanbul",28.7110539,40.9767748,3097
"140",50,"2012","Africa","Morocco","Tanger-Med (Tangiers)","Tangiers",-5.7155548,35.7239191,1900
"141",44,"2012","North_America","United States","Savannah","Savannah",-81.0998342,32.0835407,2966
"142",40,"2012","South_America","Panama","Balboa","Balboa",-117.924131,33.607795,3251
"143",45,"2012","Europe","Italy","Gioia Tauro","Gioia Tauro",15.8988669,38.4262258,2721
"144",37,"2012","Africa","Egypt","Port Said","Port Said",32.3018661,31.2652893,3631
"145",38,"2012","Asia","Oman","Salalah","Salalah",54.1065864,17.0506675,3620
"146",47,"2012","Asia","Taiwan","Keelung","Keelung",121.7391833,25.1276033,2705
"147",46,"2012","North_America","Canada","Vancouver","Vancouver",-123.1207375,49.2827291,2713
"148",49,"2012","Europe","Malta","Malta Freeport","Malta Freeport",14.537637,35.816287,2540
"149",43,"2012","Asia","Japan","Yokohama","Yokohama",139.6380256,35.4437078,3053
"150",48,"2012","Asia","Japan","Nagoya","Nagoya",136.906398,35.1814464,2655
"151",1,"2011","Asia","China","Shanghai","Shanghai",121.473701,31.230416,31700
"152",2,"2011","Asia","Singapore","Singapore","Singapore",103.819836,1.352083,29937
"153",4,"2011","Asia","China","Shenzhen","Shenzhen",114.057865,22.543096,22570
"154",3,"2011","Asia","Hong Kong","Hong Kong","Hong Kong",114.109497,22.396428,24384
"155",6,"2011","Asia","China","Ningbo-Zhoushan","Ningbo/Z-shan",121.9880433,29.9016199,14686
"156",5,"2011","Asia","South Korea","Busan","Busan",129.0756416,35.1795543,16185
"157",8,"2011","Asia","China","Qingdao","Qingdao",120.382609,36.067108,13020
"158",7,"2011","Asia","China","Guangzhou","Guangzhou",113.264385,23.12911,14400
"159",9,"2011","Asia","United Arab Emirates","Jebel Ali (Dubai)","Dubai",55.0272904,24.9857145,13000
"160",11,"2011","Asia","China","Tianjin","Tianjin",117.200983,39.084158,11500
"161",10,"2011","Europe","Netherlands","Rotterdam","Rotterdam",4.4777325,51.9244201,11877
"162",13,"2011","Asia","Malaysia","Port Klang","Port Klang",101.39283,2.999852,9604
"163",12,"2011","Asia","Taiwan","Kaohsiung","Kaohsiung",120.3014353,22.6272784,9636
"164",19,"2011","Asia","China","Dalian","Dalian",121.614682,38.914003,6400
"165",14,"2011","Europe","Germany","Hamburg","Hamburg",9.9936818,53.5510846,9022
"166",15,"2011","Europe","Belgium","Antwerp","Antwerp",4.4024643,51.2194475,8664
"167",18,"2011","Asia","China","Xiamen","Xiamen",118.089425,24.479834,6461
"168",16,"2011","North_America","United States","Los Angeles","Los Angeles",-118.2436849,34.0522342,7941
"169",17,"2011","Asia","Malaysia","Tanjung Pelepas","Tanjung Pelepas",103.551035,1.362374,7500
"170",20,"2011","North_America","United States","Long Beach","Long Beach",-118.1937395,33.7700504,6061
"171",22,"2011","Asia","Thailand","Laem Chabang","Laem Chabang",100.9158073,13.1040552,5731
"172",26,"2011","Asia","Vietnam","Ho Chi Minh City (Saigon)","Saigon",106.6296638,10.8230989,4674
"173",21,"2011","Europe","Germany","Bremen/Bremerhaven","Bremen",8.5809424,53.5395845,5915
"174",24,"2011","North_America","United States","New York and New Jersey","New York",-74.0059413,40.7127837,5503
"175",32,"2011","Asia","China","Yingkou","Yingkou",122.108231,40.266062,4033
"176",23,"2011","Asia","Indonesia","Tanjung Priok (Jakarta)","Jakarta",106.8714848,-6.1320555,5618
"177",25,"2011","Asia","China","Lianyungang","Lianyungang",119.221611,34.596653,4850
"178",27,"2011","Asia","Japan","Tokyo","Tokyo",139.6917064,35.6894875,4640
"179",31,"2011","Asia","India","Mumbai","Mumbai",72.8776559,19.0759837,4217
"180",34,"2011","Europe","Spain","Algeciras","Algeciras",-5.456233,36.1407591,3603
"181",28,"2011","Europe","Spain","Valencia","Valencia",-0.3762881,39.46991,4327
"182",39,"2011","Asia","United Arab Emirates","Khor Fakkan","Khor Fakkan",56.3432629,25.3365669,3230
"183",33,"2011","Asia","Saudi Arabia","Jeddah","Jeddah",39.2375507,21.2854067,4010
"184",30,"2011","Asia","Sri Lanka","Colombo","Colombo",79.861243,6.9270786,4263
"185",42,"2011","South_America","Brazil","Santos","Santos",-46.3288865,-23.9678823,2985
"186",36,"2011","Europe","United Kingdom","Felixstowe","Felixstowe",1.351255,51.961726,3519
"187",37,"2011","Asia","Philippines","Manila","Manila",120.9842195,14.5995124,3250
"188",35,"2011","North_America","United States","Seattle/Tacoma","Seattle/Tacoma",-122.3088165,47.4502499,3590
"189",44,"2011","Europe","Turkey","Ambarli (Istanbul)","Istanbul",28.7110539,40.9767748,2686
"190",50,"2011","Africa","Morocco","Tanger-Med (Tangiers)","Tangiers",-5.7155548,35.7239191,2070
"191",43,"2011","North_America","United States","Savannah","Savannah",-81.0998342,32.0835407,2945
"192",38,"2011","South_America","Panama","Balboa","Balboa",-117.924131,33.607795,3232
"193",49,"2011","Europe","Italy","Gioia Tauro","Gioia Tauro",15.8988669,38.4262258,2305
"194",29,"2011","Africa","Egypt","Port Said","Port Said",32.3018661,31.2652893,4272
"195",40,"2011","Asia","Oman","Salalah","Salalah",54.1065864,17.0506675,3201
"196",47,"2011","Asia","Taiwan","Keelung","Keelung",121.7391833,25.1276033,2403
"197",46,"2011","North_America","Canada","Vancouver","Vancouver",-123.1207375,49.2827291,2551
"198",48,"2011","Europe","Malta","Malta Freeport","Malta Freeport",14.537637,35.816287,2360
"199",41,"2011","Asia","Japan","Yokohama","Yokohama",139.6380256,35.4437078,3083
"200",45,"2011","Asia","Japan","Nagoya","Nagoya",136.906398,35.1814464,2623
"201",1,"2010","Asia","China","Shanghai","Shanghai",121.473701,31.230416,29069
"202",2,"2010","Asia","Singapore","Singapore","Singapore",103.819836,1.352083,28431
"203",4,"2010","Asia","China","Shenzhen","Shenzhen",114.057865,22.543096,22510
"204",3,"2010","Asia","Hong Kong","Hong Kong","Hong Kong",114.109497,22.396428,23532
"205",6,"2010","Asia","China","Ningbo-Zhoushan","Ningbo/Z-shan",121.9880433,29.9016199,13144
"206",5,"2010","Asia","South Korea","Busan","Busan",129.0756416,35.1795543,14157
"207",8,"2010","Asia","China","Qingdao","Qingdao",120.382609,36.067108,12012
"208",7,"2010","Asia","China","Guangzhou","Guangzhou",113.264385,23.12911,12550
"209",9,"2010","Asia","United Arab Emirates","Jebel Ali (Dubai)","Dubai",55.0272904,24.9857145,11600
"210",11,"2010","Asia","China","Tianjin","Tianjin",117.200983,39.084158,10080
"211",10,"2010","Europe","Netherlands","Rotterdam","Rotterdam",4.4777325,51.9244201,11146
